"","name","rating","href","num_review"
"2","Adria Airways",3.5,"/Airline_Review-d8728984-Reviews-Adria-Airways",528
"3","Aegean Airlines",4.5,"/Airline_Review-d8728985-Reviews-Aegean-Airlines",8565
"4","Aer Lingus",3.5,"/Airline_Review-d8728986-Reviews-Aer-Lingus",8799
"5","Aero Mongolia",3,"/Airline_Review-d13804006-Reviews-Aero-Mongolia",11
"6","Aeroflot",4,"/Airline_Review-d8728987-Reviews-Aeroflot",-2
"7","Aerogaviota",3,"/Airline_Review-d11831132-Reviews-Aerogaviota",22
"8","Aerolinea de Antioquia",2.5,"/Airline_Review-d11831129-Reviews-Aerolinea-De-Antioquia",11
"9","Aerolineas Argentinas",4,"/Airline_Review-d8728988-Reviews-Aerolineas-Argentinas",11651
"10","Aeromar",3,"/Airline_Review-d8728874-Reviews-Aeromar",273
"11","Aeromexico",3.5,"/Airline_Review-d8728989-Reviews-Aeromexico",7869
"12","Africa World Airlines",4,"/Airline_Review-d15052985-Reviews-Africa-World-Airlines",-2
"13","African Express Airways",3.5,"/Airline_Review-d8728990-Reviews-African-Express-Airways",16
"14","Afriqiyah Airways",2.5,"/Airline_Review-d8728991-Reviews-Afriqiyah-Airways",9
"15","Aigle Azur",2.5,"/Airline_Review-d8728992-Reviews-Aigle-Azur",-2
"16","Air Algerie",2.5,"/Airline_Review-d8728993-Reviews-Air-Algerie",352
"17","Air Antilles",2,"/Airline_Review-d11831112-Reviews-Air-Antilles",92
"18","Air Arabia",3,"/Airline_Review-d8728994-Reviews-Air-Arabia",1215
"19","Air Astana",4,"/Airline_Review-d8728936-Reviews-Air-Astana",965
"20","Air Austral",3.5,"/Airline_Review-d8728995-Reviews-Air-Austral",1048
"21","Air Bagan",3,"/Airline_Review-d10533085-Reviews-Air-Bagan",-2
"22","Air Baltic",3.5,"/Airline_Review-d8728996-Reviews-Air-Baltic",10673
"23","air berlin [no longer operating]",3,"/Airline_Review-d8729015-Reviews-Air-Berlin-No-Longer-Operating",4153
"24","Air Botswana",3,"/Airline_Review-d8728997-Reviews-Air-Botswana",71
"25","Air Burkina",3,"/Airline_Review-d8728875-Reviews-Air-Burkina",18
"26","Air Busan",4,"/Airline_Review-d10533114-Reviews-Air-Busan",239
"27","Air Cairo",3,"/Airline_Review-d8728938-Reviews-Air-Cairo",913
"28","Air Canada",3.5,"/Airline_Review-d8728998-Reviews-Air-Canada",19443
"29","Air Canada Rouge",3,"/Airline_Review-d8808634-Reviews-Air-Canada-Rouge",5734
"30","Air Caraibes",3,"/Airline_Review-d8728999-Reviews-Air-Caraibes",1744
"31","Air Century",5,"/Airline_Review-d14190654-Reviews-Air-Century",6
"32","Air Changan",4,"/Airline_Review-d13803998-Reviews-Air-Changan",1
"33","Air Chathams",5,"/Airline_Review-d10816897-Reviews-Air-Chathams",62
"34","Air China",3,"/Airline_Review-d8729000-Reviews-Air-China",4424
"35","Air Choice One",4,"/Airline_Review-d11831102-Reviews-Air-Choice-One",34
"36","Air Corsica",4,"/Airline_Review-d10816886-Reviews-Air-Corsica",389
"37","Air Costa (no longer operating)",3,"/Airline_Review-d10533082-Reviews-Air-Costa-No-Longer-Operating",37
"38","Air Cote d'Ivoire",3,"/Airline_Review-d12665304-Reviews-Air-Cote-DIvoire",44
